userName,score,at,content,content_casefold,cleaned,normalized,tokens,no_stopword,stemmed,unique,clean_final,preprocessed,Unigram,Bigram,Trigram
Rozalina,1,2025-10-28 07:18:12,bayak bug,bayak bug,bayak bug,bayak bug,"['bayak', 'bug']",['bayak'],['bayak'],['bayak'],['bayak'],bayak,"[('bayak',)]",[],[]
Djanoko 88,5,2025-10-28 07:15:33,gamenya bagus banget min aku sampai kecanduan,gamenya bagus banget min aku sampai kecanduan,gamenya bagus banget min aku sampai kecanduan,game nya bagus banget min aku sampai kecanduan,"['game', 'nya', 'bagus', 'banget', 'min', 'aku', 'sampai', 'kecanduan']",['kecanduan'],['candu'],['candu'],['candu'],candu,"[('candu',)]",[],[]
Arfan Nazril ma'arif,5,2025-10-28 07:14:31,bagus,bagus,bagus,bagus,['bagus'],[],[],[],[],,[],[],[]
Ameli Lia,5,2025-10-28 07:13:59,ARI,ari,ari,ari,['ari'],['ari'],['ari'],['ari'],['ari'],ari,"[('ari',)]",[],[]
Refi Wrwu,5,2025-10-28 07:07:55,sangat bagus dan keren,sangat bagus dan keren,sangat bagus dan keren,sangat bagus dan keren,"['sangat', 'bagus', 'dan', 'keren']",['sangat'],['sangat'],['sangat'],['sangat'],sangat,"[('sangat',)]",[],[]
imei imoi,1,2025-10-28 07:07:39,"males banget anjir, ketemu pemain toxic, ngunci² di glowal, afk, sengaja kalah, udah direpport ga dikasih sanksi samsek anjir, minimal lah dibanned akunnya anjir, udah direpport berkali kali tetep aja ga ada tindak lanjut","males banget anjir, ketemu pemain toxic, ngunci² di glowal, afk, sengaja kalah, udah direpport ga dikasih sanksi samsek anjir, minimal lah dibanned akunnya anjir, udah direpport berkali kali tetep aja ga ada tindak lanjut",males banget anjir ketemu pemain toxic ngunci di glowal afk sengaja kalah udah direpport ga dikasih sanksi samsek anjir minimal lah dibanned akunnya anjir udah direpport berkali kali tetep aja ga ada tindak lanjut,males banget anjir ketemu pemain toxic ngunci di glowal afk sengaja kalah udah direpport ga dikasih sanksi samsek anjir minimal lah dibanned akunnya anjir udah direpport berkali kali tetep aja ga ada tindak lanjut,"['males', 'banget', 'anjir', 'ketemu', 'pemain', 'toxic', 'ngunci', 'di', 'glowal', 'afk', 'sengaja', 'kalah', 'udah', 'direpport', 'ga', 'dikasih', 'sanksi', 'samsek', 'anjir', 'minimal', 'lah', 'dibanned', 'akunnya', 'anjir', 'udah', 'direpport', 'berkali', 'kali', 'tetep', 'aja', 'ga', 'ada', 'tindak', 'lanjut']","['males', 'ketemu', 'pemain', 'toxic', 'ngunci', 'glowal', 'afk', 'sengaja', 'direpport', 'dikasih', 'sanksi', 'samsek', 'minimal', 'dibanned', 'akunnya', 'direpport', 'berkali', 'kali', 'tetep', 'tindak', 'lanjut']","['males', 'ketemu', 'main', 'toxic', 'ngunci', 'glowal', 'afk', 'sengaja', 'direpport', 'kasih', 'sanksi', 'samsek', 'minimal', 'dibanned', 'akun', 'direpport', 'kali', 'kali', 'tetep', 'tindak', 'lanjut']","['males', 'ketemu', 'main', 'toxic', 'ngunci', 'glowal', 'afk', 'sengaja', 'direpport', 'kasih', 'sanksi', 'samsek', 'minimal', 'dibanned', 'akun', 'kali', 'tetep', 'tindak', 'lanjut']","['males', 'ketemu', 'main', 'toxic', 'ngunci', 'glowal', 'afk', 'sengaja', 'direpport', 'kasih', 'sanksi', 'samsek', 'minimal', 'dibanned', 'akun', 'kali', 'tetep', 'tindak', 'lanjut']",males ketemu main toxic ngunci glowal afk sengaja direpport kasih sanksi samsek minimal dibanned akun kali tetep tindak lanjut,"[('males',), ('ketemu',), ('main',), ('toxic',), ('ngunci',), ('glowal',), ('afk',), ('sengaja',), ('direpport',), ('kasih',), ('sanksi',), ('samsek',), ('minimal',), ('dibanned',), ('akun',), ('kali',), ('tetep',), ('tindak',), ('lanjut',)]","[('males', 'ketemu'), ('ketemu', 'main'), ('main', 'toxic'), ('toxic', 'ngunci'), ('ngunci', 'glowal'), ('glowal', 'afk'), ('afk', 'sengaja'), ('sengaja', 'direpport'), ('direpport', 'kasih'), ('kasih', 'sanksi'), ('sanksi', 'samsek'), ('samsek', 'minimal'), ('minimal', 'dibanned'), ('dibanned', 'akun'), ('akun', 'kali'), ('kali', 'tetep'), ('tetep', 'tindak'), ('tindak', 'lanjut')]","[('males', 'ketemu', 'main'), ('ketemu', 'main', 'toxic'), ('main', 'toxic', 'ngunci'), ('toxic', 'ngunci', 'glowal'), ('ngunci', 'glowal', 'afk'), ('glowal', 'afk', 'sengaja'), ('afk', 'sengaja', 'direpport'), ('sengaja', 'direpport', 'kasih'), ('direpport', 'kasih', 'sanksi'), ('kasih', 'sanksi', 'samsek'), ('sanksi', 'samsek', 'minimal'), ('samsek', 'minimal', 'dibanned'), ('minimal', 'dibanned', 'akun'), ('dibanned', 'akun', 'kali'), ('akun', 'kali', 'tetep'), ('kali', 'tetep', 'tindak'), ('tetep', 'tindak', 'lanjut')]"
Azka Rega,5,2025-10-28 07:02:02,mantap game seru,mantap game seru,mantap game seru,mantap permainan seru,"['mantap', 'permainan', 'seru']","['permainan', 'seru']","['main', 'seru']","['main', 'seru']","['main', 'seru']",main seru,"[('main',), ('seru',)]","[('main', 'seru')]",[]
Su Madi,1,2025-10-28 07:01:24,ff max kayak xian jink,ff max kayak xian jink,ff max kayak xian jink,ff max kayak xian jink,"['ff', 'max', 'kayak', 'xian', 'jink']","['max', 'xian', 'jink']","['max', 'xian', 'jink']","['max', 'xian', 'jink']","['max', 'xian', 'jink']",max xian jink,"[('max',), ('xian',), ('jink',)]","[('max', 'xian'), ('xian', 'jink')]","[('max', 'xian', 'jink')]"
Sedan,5,2025-10-28 06:58:22,saya sudah lama main free fire tapi saya ingin berkolaborasi dengan jujutsu kaisen tolong dibaca Garena,saya sudah lama main free fire tapi saya ingin berkolaborasi dengan jujutsu kaisen tolong dibaca garena,saya sudah lama main free fire tapi saya ingin berkolaborasi dengan jujutsu kaisen tolong dibaca garena,saya sudah lama main free fire tapi saya ingin berkolaborasi dengan jujutsu kaisen tolong dibaca garena,"['saya', 'sudah', 'lama', 'main', 'free', 'fire', 'tapi', 'saya', 'ingin', 'berkolaborasi', 'dengan', 'jujutsu', 'kaisen', 'tolong', 'dibaca', 'garena']","['lama', 'free', 'fire', 'berkolaborasi', 'jujutsu', 'kaisen', 'dibaca', 'garena']","['lama', 'free', 'fire', 'kolaborasi', 'jujutsu', 'kaisen', 'baca', 'garena']","['lama', 'free', 'fire', 'kolaborasi', 'jujutsu', 'kaisen', 'baca', 'garena']","['lama', 'free', 'fire', 'kolaborasi', 'jujutsu', 'kaisen', 'baca', 'garena']",lama free fire kolaborasi jujutsu kaisen baca garena,"[('lama',), ('free',), ('fire',), ('kolaborasi',), ('jujutsu',), ('kaisen',), ('baca',), ('garena',)]","[('lama', 'free'), ('free', 'fire'), ('fire', 'kolaborasi'), ('kolaborasi', 'jujutsu'), ('jujutsu', 'kaisen'), ('kaisen', 'baca'), ('baca', 'garena')]","[('lama', 'free', 'fire'), ('free', 'fire', 'kolaborasi'), ('fire', 'kolaborasi', 'jujutsu'), ('kolaborasi', 'jujutsu', 'kaisen'), ('jujutsu', 'kaisen', 'baca'), ('kaisen', 'baca', 'garena')]"
Siti Amanah,5,2025-10-28 06:54:22,seru banget woy sampek magrib biasanya sangking seru nya,seru banget woy sampek magrib biasanya sangking seru nya,seru banget woy sampek magrib biasanya sangking seru nya,seru banget woy sampek magrib biasanya sangking seru nya,"['seru', 'banget', 'woy', 'sampek', 'magrib', 'biasanya', 'sangking', 'seru', 'nya']","['seru', 'sampek', 'magrib', 'biasanya', 'sangking', 'seru']","['seru', 'sampek', 'magrib', 'biasa', 'sangking', 'seru']","['seru', 'sampek', 'magrib', 'biasa', 'sangking']","['seru', 'sampek', 'magrib', 'biasa', 'sangking']",seru sampek magrib biasa sangking,"[('seru',), ('sampek',), ('magrib',), ('biasa',), ('sangking',)]","[('seru', 'sampek'), ('sampek', 'magrib'), ('magrib', 'biasa'), ('biasa', 'sangking')]","[('seru', 'sampek', 'magrib'), ('sampek', 'magrib', 'biasa'), ('magrib', 'biasa', 'sangking')]"
Rosid Solikin,5,2025-10-28 06:54:10,mantap ☆☆☆☆☆,mantap ☆☆☆☆☆,mantap,mantap,['mantap'],[],[],[],[],,[],[],[]
Putu Raka,5,2025-10-28 06:51:36,mainan nya bagus banget Sampek aku sama temen ku eksiot 2 berkali kali,mainan nya bagus banget sampek aku sama temen ku eksiot 2 berkali kali,mainan nya bagus banget sampek aku sama temen ku eksiot berkali kali,mainan nya bagus banget sampek aku sama temen ku eksiot berkali kali,"['mainan', 'nya', 'bagus', 'banget', 'sampek', 'aku', 'sama', 'temen', 'ku', 'eksiot', 'berkali', 'kali']","['mainan', 'sampek', 'eksiot', 'berkali', 'kali']","['main', 'sampek', 'eksiot', 'kali', 'kali']","['main', 'sampek', 'eksiot', 'kali']","['main', 'sampek', 'eksiot', 'kali']",main sampek eksiot kali,"[('main',), ('sampek',), ('eksiot',), ('kali',)]","[('main', 'sampek'), ('sampek', 'eksiot'), ('eksiot', 'kali')]","[('main', 'sampek', 'eksiot'), ('sampek', 'eksiot', 'kali')]"
Ganis Oktafia,5,2025-10-28 06:48:45,ASADFF😍👍👍,asadff😍👍👍,asadff,asadff,['asadff'],['asadff'],['asadff'],['asadff'],['asadff'],asadff,"[('asadff',)]",[],[]
Anam Ridoi,4,2025-10-28 06:47:28,game nya bagus lumayan tapi saya kasih bintang 4 karena grafik kurang,game nya bagus lumayan tapi saya kasih bintang 4 karena grafik kurang,game nya bagus lumayan tapi saya kasih bintang karena grafik kurang,permainan nya bagus lumayan tapi saya kasih bintang karena grafik kurang,"['permainan', 'nya', 'bagus', 'lumayan', 'tapi', 'saya', 'kasih', 'bintang', 'karena', 'grafik', 'kurang']",['permainan'],['main'],['main'],['main'],main,"[('main',)]",[],[]
Adhi Widjaya,5,2025-10-28 06:44:00,baik,baik,baik,baik,['baik'],[],[],[],[],,[],[],[]
andi abuk,4,2025-10-28 06:42:17,ff jadi penyemangat,ff jadi penyemangat,ff jadi penyemangat,ff jadi penyemangat,"['ff', 'jadi', 'penyemangat']",['penyemangat'],['semangat'],['semangat'],['semangat'],semangat,"[('semangat',)]",[],[]
Rara Palembang,5,2025-10-28 06:42:13,gemes ini adalah geme pertama saya karna old dan terlalu bagus aku kasih Bintang5 enak banget,gemes ini adalah geme pertama saya karna old dan terlalu bagus aku kasih bintang5 enak banget,gemes ini adalah geme pertama saya karna old dan terlalu bagus aku kasih bintang enak banget,gemes ini adalah permainan pertama saya karna old dan terlalu bagus aku kasih bintang enak banget,"['gemes', 'ini', 'adalah', 'permainan', 'pertama', 'saya', 'karna', 'old', 'dan', 'terlalu', 'bagus', 'aku', 'kasih', 'bintang', 'enak', 'banget']","['gemes', 'permainan', 'pertama', 'old', 'enak']","['gemes', 'main', 'pertama', 'old', 'enak']","['gemes', 'main', 'pertama', 'old', 'enak']","['gemes', 'main', 'pertama', 'old', 'enak']",gemes main pertama old enak,"[('gemes',), ('main',), ('pertama',), ('old',), ('enak',)]","[('gemes', 'main'), ('main', 'pertama'), ('pertama', 'old'), ('old', 'enak')]","[('gemes', 'main', 'pertama'), ('main', 'pertama', 'old'), ('pertama', 'old', 'enak')]"
Darren Pratama,5,2025-10-28 06:41:41,game ya mantap,game ya mantap,game ya mantap,permainan ya mantap,"['permainan', 'ya', 'mantap']",['permainan'],['main'],['main'],['main'],main,"[('main',)]",[],[]
Zeusw BS,1,2025-10-28 06:38:03,gak bisa login.tolong dibenerin Napa admi tolong bangettt,gak bisa login.tolong dibenerin napa admi tolong bangettt,gak bisa logintolong dibenerin napa admi tolong bangettt,gak bisa logintolong dibenerin napa admi tolong bangettt,"['gak', 'bisa', 'logintolong', 'dibenerin', 'napa', 'admi', 'tolong', 'bangettt']","['logintolong', 'dibenerin', 'napa', 'admi', 'bangettt']","['logintolong', 'dibenerin', 'napa', 'admi', 'bangettt']","['logintolong', 'dibenerin', 'napa', 'admi', 'bangettt']","['logintolong', 'dibenerin', 'napa', 'admi', 'banget']",logintolong dibenerin napa admi banget,"[('logintolong',), ('dibenerin',), ('napa',), ('admi',), ('banget',)]","[('logintolong', 'dibenerin'), ('dibenerin', 'napa'), ('napa', 'admi'), ('admi', 'banget')]","[('logintolong', 'dibenerin', 'napa'), ('dibenerin', 'napa', 'admi'), ('napa', 'admi', 'banget')]"
PuputAja,5,2025-10-28 06:29:45,"knp klo main cs rank itu lawannya ga seimbang sih, kadang tim aku lebih tinggi rank nya kadang tim musuh lebih tinggi, ini udh terjadi sering dan kalaupun rank nya sama pasti ada perbedaan di bintangnya contoh nya rank platinum, kalau tim aku platinum bintang 4,di tim musuh masih platinum bintang 1,kayak ga seimbang, pernah juga ketemu tim musuh yang rank nya udh master, sedangkan rank tim aku pada heroic semua. itu aja sih sisanya ++++ banget SUKAAA","knp klo main cs rank itu lawannya ga seimbang sih, kadang tim aku lebih tinggi rank nya kadang tim musuh lebih tinggi, ini udh terjadi sering dan kalaupun rank nya sama pasti ada perbedaan di bintangnya contoh nya rank platinum, kalau tim aku platinum bintang 4,di tim musuh masih platinum bintang 1,kayak ga seimbang, pernah juga ketemu tim musuh yang rank nya udh master, sedangkan rank tim aku pada heroic semua. itu aja sih sisanya ++++ banget sukaaa",knp klo main cs rank itu lawannya ga seimbang sih kadang tim aku lebih tinggi rank nya kadang tim musuh lebih tinggi ini udh terjadi sering dan kalaupun rank nya sama pasti ada perbedaan di bintangnya contoh nya rank platinum kalau tim aku platinum bintang di tim musuh masih platinum bintang kayak ga seimbang pernah juga ketemu tim musuh yang rank nya udh master sedangkan rank tim aku pada heroic semua itu aja sih sisanya banget sukaaa,knp klo main cs rank itu lawannya ga seimbang sih kadang tim aku lebih tinggi rank nya kadang tim musuh lebih tinggi ini sudah terjadi sering dan kalaupun rank nya sama pasti ada perbedaan di bintangnya contoh nya rank platinum kalau tim aku platinum bintang di tim musuh masih platinum bintang kayak ga seimbang pernah juga ketemu tim musuh yang rank nya sudah master sedangkan rank tim aku pada heroic semua itu aja sih sisanya banget sukaaa,"['knp', 'klo', 'main', 'cs', 'rank', 'itu', 'lawannya', 'ga', 'seimbang', 'sih', 'kadang', 'tim', 'aku', 'lebih', 'tinggi', 'rank', 'nya', 'kadang', 'tim', 'musuh', 'lebih', 'tinggi', 'ini', 'sudah', 'terjadi', 'sering', 'dan', 'kalaupun', 'rank', 'nya', 'sama', 'pasti', 'ada', 'perbedaan', 'di', 'bintangnya', 'contoh', 'nya', 'rank', 'platinum', 'kalau', 'tim', 'aku', 'platinum', 'bintang', 'di', 'tim', 'musuh', 'masih', 'platinum', 'bintang', 'kayak', 'ga', 'seimbang', 'pernah', 'juga', 'ketemu', 'tim', 'musuh', 'yang', 'rank', 'nya', 'sudah', 'master', 'sedangkan', 'rank', 'tim', 'aku', 'pada', 'heroic', 'semua', 'itu', 'aja', 'sih', 'sisanya', 'banget', 'sukaaa']","['knp', 'klo', 'cs', 'lawannya', 'seimbang', 'kadang', 'tim', 'tinggi', 'kadang', 'tim', 'musuh', 'tinggi', 'terjadi', 'sering', 'kalaupun', 'perbedaan', 'bintangnya', 'contoh', 'platinum', 'tim', 'platinum', 'tim', 'musuh', 'platinum', 'seimbang', 'pernah', 'ketemu', 'tim', 'musuh', 'master', 'tim', 'heroic', 'sisanya', 'sukaaa']","['knp', 'klo', 'cs', 'lawan', 'imbang', 'kadang', 'tim', 'tinggi', 'kadang', 'tim', 'musuh', 'tinggi', 'jadi', 'sering', 'kalaupun', 'beda', 'bintang', 'contoh', 'platinum', 'tim', 'platinum', 'tim', 'musuh', 'platinum', 'imbang', 'pernah', 'ketemu', 'tim', 'musuh', 'master', 'tim', 'heroic', 'sisa', 'sukaaa']","['knp', 'klo', 'cs', 'lawan', 'imbang', 'kadang', 'tim', 'tinggi', 'musuh', 'jadi', 'sering', 'kalaupun', 'beda', 'bintang', 'contoh', 'platinum', 'pernah', 'ketemu', 'master', 'heroic', 'sisa', 'sukaaa']","['knp', 'klo', 'lawan', 'imbang', 'kadang', 'tim', 'tinggi', 'musuh', 'jadi', 'sering', 'kalaupun', 'beda', 'bintang', 'contoh', 'platinum', 'pernah', 'ketemu', 'master', 'heroic', 'sisa', 'suka']",knp klo lawan imbang kadang tim tinggi musuh jadi sering kalaupun beda bintang contoh platinum pernah ketemu master heroic sisa suka,"[('knp',), ('klo',), ('lawan',), ('imbang',), ('kadang',), ('tim',), ('tinggi',), ('musuh',), ('jadi',), ('sering',), ('kalaupun',), ('beda',), ('bintang',), ('contoh',), ('platinum',), ('pernah',), ('ketemu',), ('master',), ('heroic',), ('sisa',), ('suka',)]","[('knp', 'klo'), ('klo', 'lawan'), ('lawan', 'imbang'), ('imbang', 'kadang'), ('kadang', 'tim'), ('tim', 'tinggi'), ('tinggi', 'musuh'), ('musuh', 'jadi'), ('jadi', 'sering'), ('sering', 'kalaupun'), ('kalaupun', 'beda'), ('beda', 'bintang'), ('bintang', 'contoh'), ('contoh', 'platinum'), ('platinum', 'pernah'), ('pernah', 'ketemu'), ('ketemu', 'master'), ('master', 'heroic'), ('heroic', 'sisa'), ('sisa', 'suka')]","[('knp', 'klo', 'lawan'), ('klo', 'lawan', 'imbang'), ('lawan', 'imbang', 'kadang'), ('imbang', 'kadang', 'tim'), ('kadang', 'tim', 'tinggi'), ('tim', 'tinggi', 'musuh'), ('tinggi', 'musuh', 'jadi'), ('musuh', 'jadi', 'sering'), ('jadi', 'sering', 'kalaupun'), ('sering', 'kalaupun', 'beda'), ('kalaupun', 'beda', 'bintang'), ('beda', 'bintang', 'contoh'), ('bintang', 'contoh', 'platinum'), ('contoh', 'platinum', 'pernah'), ('platinum', 'pernah', 'ketemu'), ('pernah', 'ketemu', 'master'), ('ketemu', 'master', 'heroic'), ('master', 'heroic', 'sisa'), ('heroic', 'sisa', 'suka')]"
Ginus Soares,5,2025-10-28 06:26:06,gem nya bagus banget,gem nya bagus banget,gem nya bagus banget,permainan nya bagus banget,"['permainan', 'nya', 'bagus', 'banget']",['permainan'],['main'],['main'],['main'],main,"[('main',)]",[],[]
Ammarr Ammarra,5,2025-10-28 06:24:51,bagus,bagus,bagus,bagus,['bagus'],[],[],[],[],,[],[],[]
Melvin Gamaliel,4,2025-10-28 06:16:53,game nya sangat bagus tapi banyak yg menggunakan cheat,game nya sangat bagus tapi banyak yg menggunakan cheat,game nya sangat bagus tapi banyak yg menggunakan cheat,permainan nya sangat bagus tapi banyak yg menggunakan cheat,"['permainan', 'nya', 'sangat', 'bagus', 'tapi', 'banyak', 'yg', 'menggunakan', 'cheat']","['permainan', 'sangat', 'banyak', 'yg', 'menggunakan', 'cheat']","['main', 'sangat', 'banyak', 'yg', 'guna', 'cheat']","['main', 'sangat', 'banyak', 'yg', 'guna', 'cheat']","['main', 'sangat', 'banyak', 'guna', 'cheat']",main sangat banyak guna cheat,"[('main',), ('sangat',), ('banyak',), ('guna',), ('cheat',)]","[('main', 'sangat'), ('sangat', 'banyak'), ('banyak', 'guna'), ('guna', 'cheat')]","[('main', 'sangat', 'banyak'), ('sangat', 'banyak', 'guna'), ('banyak', 'guna', 'cheat')]"
Tama Oke,5,2025-10-28 06:10:05,game nya tolong jangan patah patah,game nya tolong jangan patah patah,game nya tolong jangan patah patah,permainan nya tolong jangan patah patah,"['permainan', 'nya', 'tolong', 'jangan', 'patah', 'patah']","['permainan', 'jangan', 'patah', 'patah']","['main', 'jangan', 'patah', 'patah']","['main', 'jangan', 'patah']","['main', 'jangan', 'patah']",main jangan patah,"[('main',), ('jangan',), ('patah',)]","[('main', 'jangan'), ('jangan', 'patah')]","[('main', 'jangan', 'patah')]"
Fajar Asruri,1,2025-10-28 06:07:21,loading Mulu!!! ngelag Mulu!!!! padahal wifi udah full tolol!!!! makin buriq aja ni game,loading mulu!!! ngelag mulu!!!! padahal wifi udah full tolol!!!! makin buriq aja ni game,loading mulu ngelag mulu padahal wifi udah full tolol makin buriq aja ni game,loading mulu lemot mulu padahal wifi udah full tolol makin buriq aja ni permainan,"['loading', 'mulu', 'lemot', 'mulu', 'padahal', 'wifi', 'udah', 'full', 'tolol', 'makin', 'buriq', 'aja', 'ni', 'permainan']","['loading', 'mulu', 'mulu', 'full', 'makin', 'buriq', 'ni', 'permainan']","['loading', 'mulu', 'mulu', 'full', 'makin', 'buriq', 'ni', 'main']","['loading', 'mulu', 'full', 'makin', 'buriq', 'ni', 'main']","['loading', 'mulu', 'full', 'makin', 'buriq', 'main']",loading mulu full makin buriq main,"[('loading',), ('mulu',), ('full',), ('makin',), ('buriq',), ('main',)]","[('loading', 'mulu'), ('mulu', 'full'), ('full', 'makin'), ('makin', 'buriq'), ('buriq', 'main')]","[('loading', 'mulu', 'full'), ('mulu', 'full', 'makin'), ('full', 'makin', 'buriq'), ('makin', 'buriq', 'main')]"
Sari Rubi,5,2025-10-28 06:07:17,baik,baik,baik,baik,['baik'],[],[],[],[],,[],[],[]
Rusdy Anoor,5,2025-10-28 06:05:01,sanga baik,sanga baik,sanga baik,sanga baik,"['sanga', 'baik']",['sanga'],['sanga'],['sanga'],['sanga'],sanga,"[('sanga',)]",[],[]
Dimas Satria,5,2025-10-28 06:03:35,baguss,baguss,baguss,baguss,['baguss'],[],[],[],[],,[],[],[]
Fiqri123,5,2025-10-28 05:59:42,aku cinta ff,aku cinta ff,aku cinta ff,aku cinta ff,"['aku', 'cinta', 'ff']",[],[],[],[],,[],[],[]
Qiandra Tyfani,5,2025-10-28 05:57:43,suka bgtt,suka bgtt,suka bgtt,suka banget,"['suka', 'banget']",[],[],[],[],,[],[],[]
Nayra Wiguna,5,2025-10-28 05:52:39,keren,keren,keren,keren,['keren'],[],[],[],[],,[],[],[]
Muhammad Riski Arif prayidno,5,2025-10-28 05:48:52,seru,seru,seru,seru,['seru'],['seru'],['seru'],['seru'],['seru'],seru,"[('seru',)]",[],[]
Yanzz Ganteng,5,2025-10-28 05:46:38,"saya sangat berterimakasih kepada orang yang membuat game ini,karena game ini telah menemani saya dari 2018 hingga sekarang 😊","saya sangat berterimakasih kepada orang yang membuat game ini,karena game ini telah menemani saya dari 2018 hingga sekarang 😊",saya sangat berterimakasih kepada orang yang membuat game inikarena game ini telah menemani saya dari hingga sekarang,saya sangat berterimakasih kepada orang yang membuat permainan inikarena permainan ini telah menemani saya dari hingga sekarang,"['saya', 'sangat', 'berterimakasih', 'kepada', 'orang', 'yang', 'membuat', 'permainan', 'inikarena', 'permainan', 'ini', 'telah', 'menemani', 'saya', 'dari', 'hingga', 'sekarang']","['sangat', 'berterimakasih', 'orang', 'membuat', 'permainan', 'inikarena', 'permainan', 'menemani', 'hingga']","['sangat', 'berterimakasih', 'orang', 'buat', 'main', 'inikarena', 'main', 'tani', 'hingga']","['sangat', 'berterimakasih', 'orang', 'buat', 'main', 'inikarena', 'tani', 'hingga']","['sangat', 'berterimakasih', 'orang', 'buat', 'main', 'inikarena', 'tani', 'hingga']",sangat berterimakasih orang buat main inikarena tani hingga,"[('sangat',), ('berterimakasih',), ('orang',), ('buat',), ('main',), ('inikarena',), ('tani',), ('hingga',)]","[('sangat', 'berterimakasih'), ('berterimakasih', 'orang'), ('orang', 'buat'), ('buat', 'main'), ('main', 'inikarena'), ('inikarena', 'tani'), ('tani', 'hingga')]","[('sangat', 'berterimakasih', 'orang'), ('berterimakasih', 'orang', 'buat'), ('orang', 'buat', 'main'), ('buat', 'main', 'inikarena'), ('main', 'inikarena', 'tani'), ('inikarena', 'tani', 'hingga')]"
Muhammad Zidan,5,2025-10-28 05:45:02,terbaik,terbaik,terbaik,terbaik,['terbaik'],[],[],[],[],,[],[],[]
Arjuna Marva,5,2025-10-28 05:39:00,ff sang seru bang et,ff sang seru bang et,ff sang seru bang et,ff sang seru bang et,"['ff', 'sang', 'seru', 'bang', 'et']","['sang', 'seru', 'et']","['sang', 'seru', 'et']","['sang', 'seru', 'et']","['sang', 'seru']",sang seru,"[('sang',), ('seru',)]","[('sang', 'seru')]",[]
Rayhan Hamdani,5,2025-10-28 05:37:19,gam nya sangat bagus dan gerafik nya keren pokonya seru banget🥳🥳🥳,gam nya sangat bagus dan gerafik nya keren pokonya seru banget🥳🥳🥳,gam nya sangat bagus dan gerafik nya keren pokonya seru banget,gam nya sangat bagus dan gerafik nya keren pokonya seru banget,"['gam', 'nya', 'sangat', 'bagus', 'dan', 'gerafik', 'nya', 'keren', 'pokonya', 'seru', 'banget']","['gam', 'sangat', 'gerafik', 'pokonya', 'seru']","['gam', 'sangat', 'gerafik', 'poko', 'seru']","['gam', 'sangat', 'gerafik', 'poko', 'seru']","['gam', 'sangat', 'gerafik', 'poko', 'seru']",gam sangat gerafik poko seru,"[('gam',), ('sangat',), ('gerafik',), ('poko',), ('seru',)]","[('gam', 'sangat'), ('sangat', 'gerafik'), ('gerafik', 'poko'), ('poko', 'seru')]","[('gam', 'sangat', 'gerafik'), ('sangat', 'gerafik', 'poko'), ('gerafik', 'poko', 'seru')]"
Rahmat,5,2025-10-28 05:24:38,terkadang ada team yang bot tapi tetap menyenangkan,terkadang ada team yang bot tapi tetap menyenangkan,terkadang ada team yang bot tapi tetap menyenangkan,terkadang ada team yang bot tapi tetap menyenangkan,"['terkadang', 'ada', 'team', 'yang', 'bot', 'tapi', 'tetap', 'menyenangkan']","['terkadang', 'team', 'bot', 'tetap', 'menyenangkan']","['terkadang', 'team', 'bot', 'tetap', 'senang']","['terkadang', 'team', 'bot', 'tetap', 'senang']","['terkadang', 'team', 'bot', 'tetap', 'senang']",terkadang team bot tetap senang,"[('terkadang',), ('team',), ('bot',), ('tetap',), ('senang',)]","[('terkadang', 'team'), ('team', 'bot'), ('bot', 'tetap'), ('tetap', 'senang')]","[('terkadang', 'team', 'bot'), ('team', 'bot', 'tetap'), ('bot', 'tetap', 'senang')]"
Kasriani Ani,1,2025-10-28 05:07:09,ff panpas di hapus dari pelestor,ff panpas di hapus dari pelestor,ff panpas di hapus dari pelestor,ff panpas di hapus dari pelestor,"['ff', 'panpas', 'di', 'hapus', 'dari', 'pelestor']","['panpas', 'pelestor']","['panpas', 'pelestor']","['panpas', 'pelestor']","['panpas', 'pelestor']",panpas pelestor,"[('panpas',), ('pelestor',)]","[('panpas', 'pelestor')]",[]
Panji Artayasa,5,2025-10-28 05:05:21,game nya sangaat Bagus tapi mb nya di kecilin,game nya sangaat bagus tapi mb nya di kecilin,game nya sangaat bagus tapi mb nya di kecilin,permainan nya sangaat bagus tapi mb nya di kecilin,"['permainan', 'nya', 'sangaat', 'bagus', 'tapi', 'mb', 'nya', 'di', 'kecilin']","['permainan', 'sangaat', 'mb', 'kecilin']","['main', 'sangaat', 'mb', 'kecilin']","['main', 'sangaat', 'mb', 'kecilin']","['main', 'sangaat', 'kecilin']",main sangaat kecilin,"[('main',), ('sangaat',), ('kecilin',)]","[('main', 'sangaat'), ('sangaat', 'kecilin')]","[('main', 'sangaat', 'kecilin')]"
Marinus Mawo,5,2025-10-28 05:03:13,kerja,kerja,kerja,kerja,['kerja'],['kerja'],['kerja'],['kerja'],['kerja'],kerja,"[('kerja',)]",[],[]
