userName,score,at,content
Dwi Ananta,5,2025-10-02 03:06:08,game nya seru dan ada juga skin senjata yang keren keren dan juga ada pakaian ya bagus'
gethebush 15,5,2025-10-02 03:05:39,cok
Yanuardi Yunus,5,2025-10-02 02:56:28,seru
Rioo Rioozzc,1,2025-10-02 02:53:33,woi Garena gem burik lu jangan blacklist bang Budi 01 anj
Riski Asipa,5,2025-10-02 02:49:08,Et dah ini parah banget sih udah tolol dan bodoh lagi alah sialan emang bodoh bat sumpah parah ini si
Novi Yanti,1,2025-10-02 02:44:15,game bapuk dimainin kocag😹
Rifky Ahmad rizqillah,1,2025-10-02 02:40:58,"NERF RYDEN KØNTØL, UDAH BERAPA PATCH KAGAK LU NERF ÀÑJÎNG, GARENA KØNTØL. BIKIN SKILL AKTIF NGOTAK DIKIT KØNTØL, GARENA TØLØL."
Hamizan Raihan,5,2025-10-02 02:05:04,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻mantap Garena ff nya
saipul bahri,5,2025-10-02 02:04:51,sbie embek r
Bocil epep Epep (Jamet malang),1,2025-10-02 02:00:46,woy balikin v nya bang budi 01gaming
Ifan Setiawan,1,2025-10-02 01:59:20,Alasan saya berikan satu bintang karena saya bermain game ini selalu membuat hp saya kentang setian terimakasih
Setya Yoga,1,2025-10-02 01:39:29,geme kikir jangan download
Irfi Putri,5,2025-10-02 01:36:26,game terbaik yang ku temui
Ga Lang,1,2025-10-02 01:32:27,eror tolong di perbaiki lagi
Anas Semboy,5,2025-10-02 01:31:21,pertama gua main ff
restu tegar,1,2025-10-02 01:28:50,gem nya gak jelas gem rusak pokok nya ini gem gak jelas marusak hp
Naura fauzahra putri,4,2025-10-02 01:05:42,game sigma bagus bngt
Upin Alif,5,2025-10-02 01:02:38,HP patah patah pas main geme padahal penyimpanan nya masih banyak geme gk jelas garena asu
Bibi Sawit,1,2025-10-02 00:56:18,game buruk kurang pintu
ibrahim firdaus firdaus,1,2025-10-02 00:44:36,dongo benerin sinyal aja dulu tolol
Hanzz_ aja,5,2025-10-02 00:42:18,game nya Sangat bagus TPI tolong hilangin honor scorrr nya
ini punya putra Z,5,2025-10-02 00:42:07,enak sekali rasanya aku ingin menjadi seorang p emimpin
sabunmandi,5,2025-10-02 00:35:47,bagus juga buat hp 2rm 🤣🤣🤣
Yoga Andiva,5,2025-10-02 00:26:33,sangat bisamenghibur saat sedang tidak mood
Rina Bengkulu,5,2025-10-02 00:20:22,ff ini seru dari pada Roblox
Marjan Marjan. A,5,2025-10-02 00:16:17,haya pls deh kasih bintang
"M,razendra Razendra",4,2025-10-02 00:11:34,karena Garena baik sama aku
Jolu Kampalosot,5,2025-10-02 00:11:11,aku sangat senang
Iyoh Soheriah,5,2025-10-02 00:08:51,game ini sangat seru dan banyak pemain yang baik
Vivo Y22,5,2025-10-02 00:06:09,ff game kesukaan ku
Muhammad Alif,5,2025-10-02 00:04:16,game yang sangat bagus dan menyenangkan 😄😄
Humardani Humardani,3,2025-10-02 00:02:54,puas
Sipa Alzahra,5,2025-10-02 00:01:06,permainan nan yang bagus
santhozz Gama,5,2025-10-01 23:53:02,fd ke bangke sg headsot kepala 3 x tidak knok
Jaka baik,1,2025-10-01 23:31:39,aplikasi apa inii jelekkkk bngettt😖
Nikco Dwi Marvellino,5,2025-10-01 23:26:51,sqngat bagus
Fai Mal,4,2025-10-01 23:24:27,bagus sih tpi ksih DM lah Garena 200 ajaaaa
Ali Ibrahim,5,2025-10-01 23:15:54,terimakasih atas garena karena saya besar bersama game ini dari 2018 saya mulai main dan sampai sekarang masih main juga game nya tambah bagus daripada sejak dulu kalau lagi gabut atau lagi mood pasti saya login mabar bersama teman teman saya gameplay yang bagus mantap dan main cr'ran 1v1 kek pokoknya game nya seruuuuuuuuuuuuuuuu banget
000 000,1,2025-10-01 23:10:12,ini game udah kikir makin lama bukannya ngurang malah nambah kikir
Kamisinnubun Yowakim,5,2025-10-01 23:05:05,🥰🥰🥰🥰🥰👍🔥🙏aku 🥰 terimakasih mama karna mama sudah download game ini🥰
Sri Mahanum,5,2025-10-01 23:02:56,ok main enak mantap
YUNI mugiyati,5,2025-10-01 22:57:44,anjay
Romawati Beratu,5,2025-10-01 22:55:16,Aku
Yuni Apriani,5,2025-10-01 22:48:13,saya ingin akun ff yg bagus
Yudistira,5,2025-10-01 22:46:47,update tambahin lagi ya min
Muhammad Mahesa,1,2025-10-01 22:42:29,"garena kau tau dak babi kalau tau ya cak kau lah tinkah laku nyo ff dulu lah bagu malah di jeleki kan banyak orang pensi karena apa karena ff dak seru seperti dulu banyak bak di ff sekarang peak di hapus belom lagi banyak efet yang dulu di keluar lagi kan lah sudah pasaran jadi nyo garena jadikan ff seperti dulu kalau ff seperti dulu pasti banyak bocil ff main lagi aku pegen sekalai lagi denger bocil alok ""bang gip alok bang ""kata bocil jaman dulu bukan jaman sekarang bang sekarang sudah bedah"
Rambo Sting,3,2025-10-01 22:40:27,Kenapa ada bacaan aneh ngak bisa login
Ahmad Anam,5,2025-10-01 22:38:31,sanggat keren
wawan rena,5,2025-10-01 22:24:03,bagus
ALFIKRI M,5,2025-10-01 22:19:40,mantap
Sundari Dandhiyafa,4,2025-10-01 21:55:14,bagus banyak pilihan skin
Indra Fernando,5,2025-10-01 20:29:19,anjay
Braga Bragaps,4,2025-10-01 19:27:16,game nya seru
Unknown People,4,2025-10-01 19:06:04,"tolong perbaiki bug damagenya dong, masa awm 2 hit ga mati, m1887 juga 2 hit ga mati, dulu mati kok masa sekarang engga"
Dede Solehudin,5,2025-10-01 18:29:45,mantap
Aldiansyah Aldin,5,2025-10-01 18:25:39,sangat meng hibur
ANRI Pasaribu,5,2025-10-01 18:24:30,mantap
Fery Kasim,5,2025-10-01 17:52:39,game free memang mantap 😍 sekali
Dona Pontia,1,2025-10-01 17:45:01,buat budi bisa main jing dasar gk tau diri jadi game
jincurikikyubi 29,1,2025-10-01 17:25:34,"anj pas ngeleg 2x beli spesial airdrop malah kepotong,kirain beneran ada lagi ternyata cuma lag,balikin 17rb gua woy"
Yoga,5,2025-10-01 17:22:46,free fire aku bermasalah on mic nya
Ariel Muhamad Rizki,5,2025-10-01 17:18:31,game nyaaa bagus banget
Erwin Setiawan,5,2025-10-01 17:09:53,kalo maen ini seri kalo gak maen rugi ke geratisannya
Rido,5,2025-10-01 16:54:11,bagus
Karyati linggau,5,2025-10-01 16:45:04,ipuki
Ades Hellfrog,4,2025-10-01 16:16:46,game mengisi ke gabutan
Weli Merita,5,2025-10-01 16:14:47,ancak game ndo ado pintu
Risna123,5,2025-10-01 16:02:25,👍
Aulia Alief,5,2025-10-01 15:53:31,gem ini seru banget ada pentempuran nya dan bisa menghidup kan temen yg sudah mati ayo semua dowlof
Riwanda,1,2025-10-01 15:29:35,"game aneh,bisa akun aku di suspan padahal aku gada gunain cheat atau hal hal yg merugikan game tpi akun aku kenak ban permanen,memang aneh nih game,cape cape main dari sesoan 20 elite pass malah di ban😭"
Gatot total,4,2025-10-01 15:26:48,cinta Laura* 5
Nadhif Rj4,5,2025-10-01 15:15:34,Karena di punya barak dan baju gratis meskipun dia pake diamon tapi pake diamon pasti skin bagus sekali
Farel Hafiz,5,2025-10-01 15:12:29,indonesia
Arya Fadillah,5,2025-10-01 15:01:12,mantap
fa qih,5,2025-10-01 14:58:09,tapi saya suka kesel jika lose streak
Fira PubgMobile1,5,2025-10-01 14:52:47,seru
NimaImut,5,2025-10-01 14:40:24,sangat puas
Cahkulonkae,5,2025-10-01 14:29:48,baik
ADZAN ANDY KOKASIM,1,2025-10-01 14:27:21,makin kikir
Gio Seno,1,2025-10-01 14:20:09,karena musuhnya pro dan efennya mahal
Nurul01 Huda,5,2025-10-01 14:09:04,gem nya bagus sekali
Siti Aulia,5,2025-10-01 14:04:40,karena kangen banget sama frefire sekarang
aya brzenska,1,2025-10-01 14:00:45,knp di ksi tim yg bot semua si? berturut turut loh? game be go
rico prtm,1,2025-10-01 14:00:44,mantap lag
Yuda Saputra,1,2025-10-01 13:59:44,"garena -🧠 dri dlu bug analog ga di perbaiki, masa setiap main analog nya pindah², mikir lah!!, colab sana sini tpi bug ga di urus tolol, huuuu muka admin ny mirip pusong"
Ahmad Fadel,5,2025-10-01 13:59:05,game bagus nggak ada masalah biasa saja
Caca Sumbawa,5,2025-10-01 13:58:14,1 kata bagus aj sih
Novri Anto,4,2025-10-01 13:57:38,paling gk suka sama bl
Wildan Syah,4,2025-10-01 13:50:55,saya suka
Fahmi Irawan,5,2025-10-01 13:50:53,enak
Raya Rehan,5,2025-10-01 13:50:51,game nya sangat seru bisa mabar dan bisa juga kita menjelajahi hal unik
Ricky laurineva,5,2025-10-01 13:50:50,MANTAP GARENA KASIH AKU LAGI KESULTANAN AKU INGIN MELENG KAPI SEGALAH NYA
Mumtaz Ziyo Al falih,5,2025-10-01 13:50:32,HAHAHAHAHAHAHA GAME INI BEST NYAAAA AKU MAIN GAME INI SEMUA KAWAN AKU SEMUA MAIN TERUS HAAHHAHAHAHA ASYIKKKKK!!!!!!!!!
Fabian Pratama Lubis,1,2025-10-01 13:49:20,game banyak bug
Younk Bocah,5,2025-10-01 13:47:18,OK
Iki Iki,1,2025-10-01 13:43:41,game sampah udah gm tapi tim bot kaya yang bikin 😹😹
Cafeanggrek Tigadolok,5,2025-10-01 13:43:06,sangat seru
Galang Arkenzie,1,2025-10-01 13:37:01,game anjingggg banyak bugg
Ika Ika,5,2025-10-01 13:34:55,emuach
Lidia lidia,1,2025-10-01 13:34:44,made nod haj
Dani,5,2025-10-01 13:30:16,game ini cocok untuk hp KENTANG seperti Anda harus bergeser ke IPHONE 20 PROMAX
Siti Roisah,5,2025-10-01 13:29:10,"game ini aku saranin untuk orang tolol yang mau uangnya diperas sama event event fiksi dan sarana untuk membanting/merusak hp karena lag,bug,cheat dll sehat selalu garena, sering - sering keluarin event fiksi dan jangan lupa perbanyakin bug bug nya biar orang tambah streeeeesssss......"
Rigiri Giri,1,2025-10-01 13:26:53,tolong jangan pake Kouta🗿😹
Apriyanti Rayyan,1,2025-10-01 13:25:01,game kikir
Rehan Rehan apta diara,2,2025-10-01 13:23:36,musuh gak pernah dikasih bot ajg😡😡😡
Eni Lailati,1,2025-10-01 13:23:26,woy Garena kikir diamond gua 1600 habis dan cuma dapet skateboard hiu
Sakila Amuria,3,2025-10-01 13:19:26,Game nya bagus
Sijunjung 2024,1,2025-10-01 13:18:56,gw pensi main epep mek karena konten kreator bng Budi 01 di blacklist sama pihak Garena dan dari segi game nya udah Ndak menarik lagi gw jadi bosan
Lexz 11,1,2025-10-01 13:18:36,"saya kasih bintang satu karena ada bug isu jaringan, padahal sinyal saya lancar!!!! tapi kenapa lagggggg!!!!!! bug ini sangat meresahkan bagi saya karena ketika saya berhadapan dengan musuh tiba' lag!!! saya harap bug ini segera di fixxxx karena sangat meresahkan!!!! dan yg terkena bug ini bukan hanya saya tetapi org lain juga, dan org lain pun juga sangat marah pastinya karena ada bug ini, huhhh😮‍💨 jadi tolong di perbaiki dlu game nya!!!!!!!! SEKALI LAGI SANGAT MERESAHKAN!!!!!!"
Maya Sari,5,2025-10-01 13:17:14,bagus
Tomi Tomo,5,2025-10-01 13:15:52,mantap
Rafa Arif,4,2025-10-01 13:11:20,Garena tolong benerin bug invisibel gara gara itu aku minus dan gak boyah
RAY YEHEZKIEL,5,2025-10-01 13:09:10,bagus dan seru tapi hilangin bug
Nadia Ashifa,5,2025-10-01 13:08:10,game nya seru bangettttttttyt ff memang nomor 1
Harapan Doa,5,2025-10-01 13:05:43,bagus😍😍😍😍
Muhammad Mahdi02,5,2025-10-01 13:04:32,bagus
Devan,1,2025-10-01 13:03:26,"semakin gak seru, orang terima endorse dari game lain malah di band"
Kristian Yahausanga,5,2025-10-01 13:03:04,suda lama tidak main gem ini dan sekarang di coba lagi karna Masi bot
Noval Aja,5,2025-10-01 13:01:19,bagus
Aang,1,2025-10-01 12:58:21,"parah lu min, masa Budi 01 lu bl, padahal ff blm tentu terkenal tanpa dia"
Darwis Danial,5,2025-10-01 12:54:49,ok baik lancar
Dzaky Agus,5,2025-10-01 12:53:18,game ini sangat seru tapi kasih lah diamond gratinya
Ponda Aja,5,2025-10-01 12:50:36,mantap
mengung Yun,5,2025-10-01 12:48:28,ff adalah game terbaik di dunia
Ani Rukhmawati,5,2025-10-01 12:46:48,josjis
Adnan Zaidan,5,2025-10-01 12:40:00,sangat memuaskan
Rehan Surya,5,2025-10-01 12:39:43,bagus bg ff in sya mau maen terus jdi nya
Hilya Arsy,5,2025-10-01 12:39:00,asik
Marfel Nehe,1,2025-10-01 12:35:51,we need old peak
Samsungcahyo,5,2025-10-01 12:32:30,game ini sangat seru
Muhammad pito,5,2025-10-01 12:25:29,kalau kalian coba pasti ketagihan buruan coba
can gil,5,2025-10-01 12:21:48,"ytta, aja"
FARHAN Ramadhani,1,2025-10-01 12:21:47,Lawan udh ke headshot malah kgk mati game kgk jelas
Pong Apong,5,2025-10-01 12:16:37,bagusss bgt woyyy
ayik m,5,2025-10-01 12:16:21,bagus
Subaer,1,2025-10-01 12:11:19,karna aku malas main karna jaringan ku ngeleg terus
Rossi34 jawaelang,1,2025-10-01 12:09:28,"t a i, bedain sistem, afk sama nge lag lah jing, Gua lagi nge lag tiba-tiba open map, langsung di gb musuh, Sistem garena burik kek game nya"
Dffe Jjtjtj,3,2025-10-01 12:07:33,maaf karena kasih 3 bintang karena kalau pakai wifi jaringan nya sibuk padahal lagi di rumah sinyalny kuat loh
Atep Taryana,5,2025-10-01 12:05:06,bagus
Muhammad Rival,5,2025-10-01 12:03:28,keren
Fauzan,5,2025-10-01 12:02:54,gem nya bagus seru 100%
Anjay,1,2025-10-01 12:00:32,bang Budi nya gabisa main ff lagi
Adi Veredi,5,2025-10-01 11:55:34,geme ini seruh garena bagi diamon gratis dong
Ng Sandy,5,2025-10-01 11:55:02,1000000 konfkbbh djjg
Jagal Drame,1,2025-10-01 11:52:46,bang Budi kena blacklist Garena ajg
Sari Susari,5,2025-10-01 11:51:39,sangatt baguss
Tracia Intopiana,5,2025-10-01 11:50:23,banyak teman dan juga seru seperti nyata
Lalu Muhammad Satriadi,1,2025-10-01 11:48:41,We need old peak
Juli Anto,2,2025-10-01 11:47:42,"Gagal terhubung ke server terus,,apa masalahnya nih???"
Delima Sonita,5,2025-10-01 11:42:21,sangat bagus inih permainan paling bagus
Muhammad Mamad,5,2025-10-01 11:34:20,garena tolong lah aku habis banyak uang untuk beli barang tidak berguna di masah depan tapi aku spin kok gk hoki hoki garena pliss perbaiki
Gopalmeena Gopalmeena,5,2025-10-01 11:32:33,gopal
raziq hanan,5,2025-10-01 11:29:38,gacorr
Exel Rafael,3,2025-10-01 11:29:13,"game nya sebenarnya seru TPI seruan ml, ff cocok nya di mainin pas puasa"
Sudah Biasa,5,2025-10-01 11:25:46,yah
Alvin Rayyaan,5,2025-10-01 11:23:18,"semangat terus ff jangan menyerah saya dukung ff, ff di selalu di hati"
Eduh Ghjj,1,2025-10-01 11:22:00,anj gua kesar kali tolong Garena sinyal yang padah bagus tapi 999+ kalo gini terus gua hapus ff
Cece Lia,5,2025-10-01 11:18:37,mabarr bangg
Oppo Reno8t,5,2025-10-01 11:12:09,game ini seru dan membuat belajar menembak
Radit Radit,4,2025-10-01 11:09:56,menurut saya game nya bagus tapi tolong Garena kenapa akun saya kena pelanggaran dan tulisan ada pemain yang sedang dalam proses investigasi padahal saya tidak cheat dan bug tolong di benarkan
Al Firdaus,5,2025-10-01 11:08:53,ff nya bagus banget update lagi biar tam ah Agus
kidd napper,5,2025-10-01 11:07:53,FF selalu di hatiku
Sandy Audom,1,2025-10-01 11:05:27,jaringan nya leg
Cahya Khaliq,5,2025-10-01 11:03:32,permainan ini sangat menyenangkan dan sangat cocok untuk orang yang jomblo sepertiku
Mutia,5,2025-10-01 11:03:08,sagat bagus
Hindun Hindasah,5,2025-10-01 11:02:29,B aj
valdz aja,2,2025-10-01 10:56:29,bug demeg benerin
Fahmi,5,2025-10-01 10:52:13,gem nya sagat bagus tapi bisa kah top apin dm 😅tolong garena
Deri Deri,5,2025-10-01 10:51:39,mantap!!🫶
Telaso Peler,1,2025-10-01 10:50:17,burik
Daren,5,2025-10-01 10:48:46,sangat baik semoga dapet hadiah ya
Halija Halija995,4,2025-10-01 10:47:24,"sayaa kasih bintang 4 karnaaa sekrang selalu susah untuk login, padahal jaringan BAgusss, tolong pihak FF di perbaiki masalah login kami inii🙏"
Osep Hermawan,5,2025-10-01 10:36:06,boleh..
Peri Yana,3,2025-10-01 10:35:51,booyah pass makin jelek
fatmawati,1,2025-10-01 10:31:49,tolong lah game nya di perbaiki udah banyak bug kalau banyak bug jangan pelit juga lah masa kita udah nyepin berkali-kali gak dapat tolong di perbaiki ya 🙏🙏
Reyzta,5,2025-10-01 10:31:41,bagus
Alfian Rohali,4,2025-10-01 10:31:23,"aku kasih bintang 4 karena, kan aku login tiba tiba muncul tulisan starting,nah kukira itu update,kan aku tunggu lama banget gak bisa bisa, tolong perbaiki"
Dwi Retno,1,2025-10-01 10:30:07,bot semua tim gua
Glows Stone,1,2025-10-01 10:27:58,bug damage ga pernah di fix
Rizky Aditia,3,2025-10-01 10:25:39,"kenapa aku kasi bintang tiga karena ada lag,tapi pas aku main malah ngeleg terus keluar"
Gio Fidel Lamasigi,5,2025-10-01 10:22:36,game ini sangat bagus
Rafka Ardiansyah,5,2025-10-01 10:18:44,gem bangsat garena bangsat
Yopi Zaenal,5,2025-10-01 10:16:37,kowk
Reza Sugito,1,2025-10-01 10:15:48,game kikir patut dikasih bintang 1 🤮
M ibnu Ataditya,5,2025-10-01 10:13:39,mungkinkah sekarang?😞
Bocah tolol,1,2025-10-01 10:09:15,gem nya gk enak banyak beban di manamana garena mati aamiin
Rifki Adiya wardana,1,2025-10-01 10:08:38,ga ada pintu
Opkevin Situmorang,5,2025-10-01 10:07:03,saya suka banget main ff
Dani Wiyono,3,2025-10-01 10:03:12,"ga bisa berkata"" cari uang susah"
Wingga,5,2025-10-01 09:56:21,game ini sangat seru!
Miftahul Anam,5,2025-10-01 09:55:15,min dm donk garena
namzz gcr,1,2025-10-01 09:48:52,game cacat langka lawang game burik
Sri Sukaesih,4,2025-10-01 09:44:59,pilss ini kenapa ya game ini tuh bagus cumann.. kalo main jaringan nya tuh jelek tapi kalo main yg lain bagus itu kenapa ya padahal saya sudah rank heroik... tapi suka bgt nge lag padahal jaringan saya bagus..?
Kenzo Pradana,5,2025-10-01 09:39:23,kirim dm donk garena pliss
M.Naufal Saefi Multazam,5,2025-10-01 09:35:46,bewan sini kau
Olivia Barek Blikon,5,2025-10-01 09:32:36,sangat bagus
Danil Sanjaya,5,2025-10-01 09:32:05,game nya sangat menyenangkan
Muhammad. Andika Muhammad. andika,5,2025-10-01 09:31:44,epep aku sudah jadi bintang' aku cuma bisa bantu kayak gini nih kalo ada yang berat dan tidak janan gitu lah yang berat
Rahcel Ganteng1232,5,2025-10-01 09:22:08,sangat seruuu
Fiqri Algvr,5,2025-10-01 09:17:25,sangat seru
Fahri Aliansyah,5,2025-10-01 09:15:09,DM gratit
Umam 01,5,2025-10-01 09:14:13,gemya sangat keren tolong kasi aku kehokian
Mirza Ukail,5,2025-10-01 09:09:18,bagus
Keeptinatun,5,2025-10-01 09:04:47,mantap
zikRiinsomnia,5,2025-10-01 08:55:21,mantap
Dayan dayan,4,2025-10-01 08:53:02,saya suka gemes nya karena
Irfan Yusran,5,2025-10-01 08:52:59,game ini burik
Ardiansah Ardi,5,2025-10-01 08:51:16,ok
Tarjo Kdi,5,2025-10-01 08:48:54,ini sangat cocok untuk kesedihan
Murni Yati,2,2025-10-01 08:46:13,game Burik
Ida Nur faizah,5,2025-10-01 08:45:11,game ni sangat seru sekali
achnoval68,1,2025-10-01 08:44:49,bg budi akunnya di blacklist oleh garena jadi aku kasih app ff bintang 1
Prastyo Handoko,5,2025-10-01 08:40:44,gamenya bagus ff di hati
Ari Prayoga,1,2025-10-01 08:34:49,"burikkkk mau main malah kena band, bg budi aja habis main bs aja gak bisa main buriik"
Rizqi Oke,1,2025-10-01 08:31:50,game kikir😹😹😹
Nella Nola,5,2025-10-01 08:29:55,Klo di sosial islad banyakkin cowo nya napa!!
HS buluk,5,2025-10-01 08:18:25,saya di kasih hoki sama free fire and Garena jadi saya bintang 5
Rafi Anwar,5,2025-10-01 08:12:33,senang game nya sangat menyenangkan
Arya renata,1,2025-10-01 08:08:59,min. kenapa Saya pakai wifi sinyal ya leg banget ya. padahal saya main game lain baik baik aja tolong ya min. di benerin
Gus Tomi,1,2025-10-01 08:00:57,gw beli spesial aidrop belum masuk Cok dm nya
Dian Ganteng08,1,2025-10-01 07:56:38,jujur gw sebagai panutan budi01 kecewa sama Garena kenapa di ben gua gak bakal main. ff lagi kecewa Poko nya
Baharudin132,5,2025-10-01 07:52:57,game yg sangat seru dan menyenangkan dan selalu menemani saya
Rezkyy Celekk19,4,2025-10-01 07:49:01,lumanya tapi jaringan nyaa kayak eee
Restu Dwi,5,2025-10-01 07:46:39,akhirnya ada game sejelek ini love buat semua bug di dalam game nya
Dimas Restu,5,2025-10-01 07:34:13,seruuu
Munaji Cik,5,2025-10-01 07:30:36,rawwwwrrrrrrrr
Fasyen Kumolontang,1,2025-10-01 07:30:31,ini game babi kudacuki pendo jaringan lancar tibah² langsung pergi loby game babi
Dimasramayana Y,5,2025-10-01 07:25:16,game ini sangat bagus👍
Mas Aziz,1,2025-10-01 07:24:39,dahlah gem ini sudah sepi tampa budi 01geming gemes ini terasa kosong hampa ayolah beri bang budi 01geming kesmpatan lagi masa dia ngonten selain garena FRIFAER gaboleh alay banget sumpah kasihan panutan panutan bang budi 01geming salam dari panutan budi geming
Fathan Mubin,5,2025-10-01 07:19:41,"enak, tapi mohon semua bandel gratis 😅😅😅"
Restu Ramadhan,5,2025-10-01 07:16:59,aku suka sekali dengan gembini 👍👍👍👍👍👍👍👍👍😍
Edi Susanto,5,2025-10-01 07:03:58,bagus
farija fatimah,1,2025-10-01 07:03:39,sangat tidak seru
Paijo Ning,5,2025-10-01 06:52:10,terimakasih untuk gem ini garena kalo gak ada gem ini gua akan gembira kayak ini terimakasih
Rizkal Hafidurrahman,1,2025-10-01 06:45:25,taik lah akun gw kena bl padahal gk ngpa²in
sdnpengampon 3,5,2025-10-01 06:41:05,mantap
Nazril Ilham,1,2025-10-01 06:40:32,game kikit
Suriani Harahap,5,2025-10-01 06:39:58,seru aku nanti mau jadi tni karna bisa tembak tembak di ef ef
Prdy Perdi,2,2025-10-01 06:32:55,gema kontll burikk
Mohammad Hasanrifki,5,2025-10-01 06:30:42,bagus dan enak dimainkan
Feriansya,5,2025-10-01 06:29:28,sinyal sangat tidak puas
PUTRI NAYYA “Reza” ANINAH,4,2025-10-01 06:25:25,Garena blokir bug nya sama jangn kasih yng drg sistem sama hapus yang ngecit akun ku langsung hilang
Erni Ummu dzulfikar,5,2025-10-01 06:22:42,bot kacung
zasen pratama70,5,2025-10-01 06:21:56,game enak ni Cok
Siti,5,2025-10-01 06:20:21,bagussss
luthfa alfiyatin,5,2025-10-01 06:12:04,seru bgt sekarang aku bisa headshot sedikit
seh saktiawan Alfirdaus,5,2025-10-01 06:11:50,ff seru no debat
Muhamad Bilal,5,2025-10-01 06:07:24,sngt menyenangkan
Yusiroh Yusiroh,5,2025-10-01 06:07:08,game nya bagus dan game nya rada kurang bagus yatapi game nya juga seru
Azka Niam,5,2025-10-01 06:05:30,gemya bagus banget
Wong Pusat,1,2025-10-01 05:56:34,jaringannya bagus pas main 999+
Ipak Asikin,1,2025-10-01 05:55:59,game haram makin pelit aja Garena ga hoki hoki banyak habis DM Cok game haram duit habis game ini cuma mau untung ga pikirin playernya
allzahirulubaid,5,2025-10-01 05:53:00,game ini seru dimainkan saat bosan dan tidak banyak mengambil kota
Loloa Vahshs,5,2025-10-01 05:51:50,lolo
jdi rdd,1,2025-10-01 05:46:48,game aneh ngga jelas + tll pemainnya rata rata gblk ngga bisa main atau baru main dan parahnya satu tim.sedangkan tim lawan rata rata bisa main dan jago ini khusus untuk berkelompok atau tim tolong di perbaiki lagii..
Hairul Sirait,5,2025-10-01 05:46:45,sangat bahagia
Alby Alby,5,2025-10-01 05:43:05,enak banget
Hilal Ramadan,3,2025-10-01 05:43:00,dah kil 5 mati di urutan 10 kok ngurang 15?
Rafael Duatujuh,5,2025-10-01 05:38:30,terimakasih
Biana Biana,5,2025-10-01 05:29:41,mantap geme ff nya agak buri nggak ada pintu
agus purnawan,4,2025-10-01 05:23:17,"makin kalah saing game ini,tolong garena cari solisi untuk bisa menarik peminat orang orang main game ini lagi"
Rizky 96,5,2025-10-01 05:19:36,semoga game ini gak selalu ngeleg
Wanda Humairah,5,2025-10-01 05:18:24,Game ini sagat menarik
Muhammad Al fatih,1,2025-10-01 05:16:49,"wahh saya suka game ini tapi lama jadi sungkan masalah nya pangkat saya master tapi dikasih tim platinum bjir kck bet hhh, trus sering ada masalah jaringan lagi enak push cs tb tb keluar bgst honor score nya ikut turun lagi Hhuuu!"
Adrian Modesad,5,2025-10-01 05:15:07,game nya bagus sekali
amelia salsabila aldo raffi,5,2025-10-01 05:14:31,kami kembali
Muhamad rasyid Ibrahim,5,2025-10-01 05:02:19,min topappin dong hee
Erwin War,5,2025-10-01 04:58:26,ff nomor 1
mhd rizkysiregar,1,2025-10-01 04:58:22,"match lama, death game kah?"
Aska Al Farizi,4,2025-10-01 04:54:39,kasih aku please hoki seumur hidup dan kasi aku diamond Garena free firee
Cre Wet,5,2025-10-01 04:51:38,tak tau
Ahmad Reihan,5,2025-10-01 04:49:04,saya pensiun dulu
Zaki Zaki,5,2025-10-01 04:41:10,jirr layar hitam udh di perbaiki
NICE GOD,1,2025-10-01 04:40:05,tolong draksistem nya di kurangin yaaa bot
Anjiang Gadang,5,2025-10-01 04:38:43,baik
jul fikar,5,2025-10-01 04:35:07,ini permainan nya bagus dan juga enak buat main
Haikelrawis Haikel,5,2025-10-01 04:34:43,Garena kasih DM lah wkwkwk 😹
muhammad Ridhani,5,2025-10-01 04:31:18,keren nostalgia pada jaman 2017 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
Rifa Khairani,5,2025-10-01 04:28:50,good
Alex Ander,5,2025-10-01 04:18:14,Tolong jaringannya d perbaiki selalu hlng koneksi padahal jaringanku bagus 999+🤦‍♂️
Son Dandut,1,2025-10-01 04:07:04,game elek+bosok👎
Talita SR,5,2025-10-01 04:02:13,suka
Libertus Kpk,5,2025-10-01 03:58:26,menarik juga
Titi tutu,1,2025-10-01 03:31:39,"kembalikan akun saya, akan saya download kembali"
Kiki Riski,5,2025-10-01 03:31:02,aku mauk diamond
Sahari Ari,5,2025-10-01 03:31:00,saya sangat suka dengan gem ini
Muhammad Farelalhafidz,5,2025-10-01 03:28:24,tolong di bagusin lagi sekin senjatanya
Saka Aja,1,2025-10-01 03:20:50,"selalu mendapatkan tim yang tidak stabil, dan susah win. di harapkan rekomendasi tim yang bagus jadi aku gak kesal + emosi kalo main rank. TOLOOONGGG GARENAAA!!!!! kasi gua tim yang sportif asu, dan sinyal nya di benerin lh, cpe ak main game ini skrng."
Selokan Banjir,5,2025-10-01 03:16:52,nenek gw nyampe kecanduan main game inij
rudi hartonk,1,2025-10-01 03:11:08,"udah dari 2018 main ni game dari dulu bug nya ga di benerin, mulai dari bug damage, bug visual, sampe sekarang ga di benerin, dan sekarang malah makin aneh skil skill yg terlalu op, waktu nya pensi dan uninstall nih game gajelas"
