userName,score,at,content
564_I Gusti Ngurah Agung Yudistira,5,2025-10-03 12:31:00,Garena Besok update ya di tanggal 4 oktober tahun 2025
Hijam Prit,1,2025-10-03 12:22:23,bagus
Prime Kanjiro,5,2025-10-03 12:21:54,bagus game nya
Suroso Hadi,1,2025-10-03 12:21:12,dapat merusak memori
Rendy Rusly,5,2025-10-03 12:14:45,Dendi Liu 🙏🪂
Jannah Jannah,5,2025-10-03 12:12:50,game inih seruh sekali
Zar Aja,2,2025-10-03 12:08:52,"perbaiki bug nya min,di cs sering tiba"" gabisa gerak"
Arika Aurelya,1,2025-10-03 12:07:29,game nya semakin update semakin banyak event yang ga ngotak
zaenal arifin,3,2025-10-03 12:01:53,tingkatkan lagi
DRAZ zsx,5,2025-10-03 12:01:47,seru
Kippli,4,2025-10-03 11:51:56,MANTAP MIN WALAUPUNGAME GAK ADA PINTU😹🗿
Ario Aswan,1,2025-10-03 11:51:52,雄鶏ゲーム
Lionel Luvluv,1,2025-10-03 11:51:36,game rusak!! tolong garena perbaiki dulu bug jaringannya padahal saya pakai wifi yang baru pasang tapi jaringan atau lag terus kalau mulai bermain sering sekali tidak bisa memasuki game nya.
Ezza Sitio,5,2025-10-03 11:48:54,seru banget 💢💢💢
Meckoz05,5,2025-10-03 11:47:00,terus berkembang pihak Garena💪🏻
Marwa aura Aura,5,2025-10-03 11:46:37,wahh bagus seklai
Akhtar Gemoy,5,2025-10-03 11:46:35,game bagus dan cocok buat yg bosen main atau kaum mageran
R c b V n d,5,2025-10-03 11:44:48,baik
Frisco,1,2025-10-03 11:37:28,benda yang sangat bagus sama banyak semuanya emot langsung muňċuʟ
Tika Sholihah,1,2025-10-03 11:37:01,"GARENA T@1 PLISS LAH KALO TURUN SEASON RINGANIN LAH KITA Masa GW DARK SISTEM SEMUA SEDANGKAN MUSUH MALAH KAYA PROPLAYER kaya ngak adil banget gitu, pliss lah sistem nya di benerin kami para Player game burik, harus mendapatkan perilaku buruk dari game burik(mana sistem nya cacat lagi) hadehh cape gw GARENA"
Zakiah??,2,2025-10-03 11:36:39,"seru, tapi sinyal bagus malah ngelag, apaan tiba tiba merah padahal sinyal nya baik baik aja, suka ngebug juga, kadang pas headshot malah sayanya yang knockdown dan tolong perbaikin dan baca kritikkan para player nya, terimakasih"
クリスミュッハ,1,2025-10-03 11:35:44,papoke ff kee
billiac star 02,5,2025-10-03 11:35:14,game nya seruuu apalagiii kalooo punyaaa temennn mabarrr
gulali gulagula,1,2025-10-03 11:28:18,woi asu napa ff gw ireng cukup itu perbaiki asu!
Kareem Holt,5,2025-10-03 11:25:58,keren
Sovia Oktavia,3,2025-10-03 11:25:55,sering terjadinya bug banyak cit/file
ALIF Tai,5,2025-10-03 11:25:34,mimin garena aku pengen akun ff akun ku ko si ban
Budevi,5,2025-10-03 11:16:25,diamon
fadli setiawan,1,2025-10-03 11:12:26,"game nya aneh bet, padahal sinyal nya bagus malah lag di ff nya apa coba, terus lag sinyalnya warna putih,terus kebanyakan orang troll atau bocil drak system jdi mls main ff lg"
Muhammad Alfansuri lutfi,3,2025-10-03 11:00:11,"min padahal hp gw unlock 120 fps trus dalam game kok gabisa 120 fps dah malahan 60 fps,susah 60 fps minn"
cakra cakra,5,2025-10-03 10:59:25,ini game yg sangat seru
Ali Topan,5,2025-10-03 10:58:21,skor jngan cepat turun nya y
Muhammad Asrul,5,2025-10-03 10:54:16,cukup menarik sih tapi ada masalah kecil seperti ngabak
taufik ismail,5,2025-10-03 10:49:10,aku sangat suka
Abu Rasyid,5,2025-10-03 10:44:34,game nya bagus tapi kadang kadang ngebug
Dafa Pratama,5,2025-10-03 10:43:51,gacor
kancil halus,5,2025-10-03 10:36:59,game nya seru
Ggggvfff,5,2025-10-03 10:31:04,👍
Nurasih Dariansyah,5,2025-10-03 10:26:41,karena ini game yg sangat seruuuu sekali kami bisa mabar dan bisa onmic 🙏🤓
Siti Ilyas,5,2025-10-03 10:26:32,karna sedikit orng nya babi
Daffa Syaputra,5,2025-10-03 10:22:04,geme sangat bagus btw minta daimon min
Gina Dini,5,2025-10-03 10:20:22,sangat menyenangkan
Ali Ali,5,2025-10-03 10:14:04,game nya seru
Agus Kuprit,5,2025-10-03 10:12:31,bagus dan enak buat main
Muhammad Subkhi,1,2025-10-03 10:11:56,kemabliin akun bang budi garena
Riska Rahmadani,5,2025-10-03 10:11:37,aku sangat suka ff
MUHYIDIN Jamil,5,2025-10-03 10:10:55,ini adalah game terbaik di seluruh dunia garena semoga akun ku selalu hoki garena🙏
Oppo,5,2025-10-03 10:07:58,baik
Februari Februari,5,2025-10-03 10:07:01,Bagus
Dandox Badada,5,2025-10-03 09:58:21,tolong perbaiki soal ganguan sinyal
WILDAN•gz,1,2025-10-03 09:56:21,jelek grafik udah rata kiri masih aja ngelag
Patur fm Rahman,1,2025-10-03 09:56:20,bug demeg mohon di perbaiki secepatnya
Sufiyannor,1,2025-10-03 09:53:52,bagusan pubg
Indra Saputra jaya,5,2025-10-03 09:53:19,ecccooo#666
Salim Mudin,5,2025-10-03 09:49:57,bagus Garena saya adalah raja Pepeng di ff wkwk tolong geratisin diamond ff biar gk bosen ekwkk
Sahriah,5,2025-10-03 09:48:08,game free fire sangat menyenangkan
P linght Linht,1,2025-10-03 09:45:20,"min buatin fitur unbind dari Garena cukup 1x digunakan buat yg bindnya udah mati, soalnya mau gnti ga bisa"
Neni Santi,5,2025-10-03 09:43:56,baguss minus ada chit
vanz zr,1,2025-10-03 09:40:31,buat garena sesekali bikin lah hoki setiap nyespin pasti gak pernah dapet gimana mau main game ini kalo gapernah hoki
